,Train,Test
0,0.38999998569488525,0.30000001192092896
1,0.3199999928474426,0.36000001430511475
2,0.23999999463558197,0.3199999928474426
3,0.36000001430511475,0.25
4,0.28999999165534973,0.3499999940395355
5,0.3199999928474426,0.36000001430511475
6,0.3100000023841858,0.25
7,0.25,0.3400000035762787
8,0.3100000023841858,0.28999999165534973
9,0.23999999463558197,0.3199999928474426
10,0.3499999940395355,0.4099999964237213
11,0.3400000035762787,0.28999999165534973
12,0.23999999463558197,0.28999999165534973
13,0.25,0.28999999165534973
14,0.3499999940395355,0.36000001430511475
15,0.2800000011920929,0.3199999928474426
16,0.36000001430511475,0.27000001072883606
17,0.3400000035762787,0.27000001072883606
18,0.36000001430511475,0.3400000035762787
19,0.28999999165534973,0.28999999165534973
20,0.3400000035762787,0.4000000059604645
21,0.36000001430511475,0.27000001072883606
22,0.38999998569488525,0.4000000059604645
23,0.28999999165534973,0.27000001072883606
24,0.3499999940395355,0.3499999940395355
25,0.28999999165534973,0.3499999940395355
26,0.36000001430511475,0.3100000023841858
27,0.3799999952316284,0.2800000011920929
28,0.3700000047683716,0.28999999165534973
29,0.44999998807907104,0.3199999928474426
30,0.3400000035762787,0.3400000035762787
31,0.3700000047683716,0.4399999976158142
32,0.3499999940395355,0.4099999964237213
33,0.27000001072883606,0.3199999928474426
34,0.36000001430511475,0.38999998569488525
35,0.30000001192092896,0.28999999165534973
36,0.3700000047683716,0.2199999988079071
37,0.3199999928474426,0.28999999165534973
38,0.33000001311302185,0.33000001311302185
39,0.44999998807907104,0.2800000011920929
40,0.3700000047683716,0.3700000047683716
41,0.3400000035762787,0.33000001311302185
42,0.3100000023841858,0.30000001192092896
43,0.33000001311302185,0.3100000023841858
44,0.4300000071525574,0.23999999463558197
45,0.3100000023841858,0.27000001072883606
46,0.3100000023841858,0.2800000011920929
47,0.30000001192092896,0.25
48,0.4300000071525574,0.2800000011920929
49,0.3400000035762787,0.33000001311302185
