,Train,Test
0,0.280000001,0.370000005
1,0.25999999,0.280000001
2,0.25999999,0.280000001
3,0.349999994,0.289999992
4,0.280000001,0.270000011
5,0.300000012,0.330000013
6,0.25999999,0.310000002
7,0.300000012,0.280000001
8,0.430000007,0.310000002
9,0.319999993,0.330000013
10,0.319999993,0.379999995
11,0.389999986,0.419999987
12,0.330000013,0.379999995
13,0.239999995,0.419999987
14,0.389999986,0.349999994
15,0.289999992,0.289999992
16,0.340000004,0.280000001
17,0.300000012,0.379999995
18,0.25999999,0.449999988
19,0.310000002,0.389999986
20,0.389999986,0.349999994
21,0.340000004,0.330000013
22,0.25999999,0.25
23,0.159999996,0.239999995
24,0.280000001,0.239999995
25,0.209999993,0.330000013
26,0.340000004,0.25999999
27,0.460000008,0.280000001
28,0.280000001,0.340000004
29,0.370000005,0.400000006
30,0.419999987,0.330000013
31,0.270000011,0.389999986
32,0.289999992,0.379999995
33,0.289999992,0.360000014
34,0.25999999,0.310000002
35,0.289999992,0.239999995
36,0.319999993,0.330000013
37,0.270000011,0.319999993
38,0.349999994,0.319999993
39,0.330000013,0.319999993
40,0.340000004,0.389999986
41,0.209999993,0.280000001
42,0.310000002,0.219999999
43,0.340000004,0.289999992
44,0.25,0.230000004
45,0.340000004,0.300000012
46,0.300000012,0.300000012
47,0.280000001,0.230000004
48,0.340000004,0.289999992
49,0.319999993,0.300000012
