,Train,Test
0,0.289999992,0.25999999
1,0.340000004,0.400000006
2,0.349999994,0.280000001
3,0.300000012,0.25999999
4,0.300000012,0.280000001
5,0.319999993,0.239999995
6,0.319999993,0.349999994
7,0.25999999,0.270000011
8,0.270000011,0.289999992
9,0.349999994,0.319999993
10,0.349999994,0.330000013
11,0.370000005,0.360000014
12,0.330000013,0.419999987
13,0.280000001,0.310000002
14,0.360000014,0.360000014
15,0.319999993,0.370000005
16,0.219999999,0.25
17,0.319999993,0.300000012
18,0.340000004,0.209999993
19,0.419999987,0.230000004
20,0.270000011,0.280000001
21,0.310000002,0.349999994
22,0.349999994,0.400000006
23,0.319999993,0.289999992
24,0.239999995,0.370000005
25,0.409999996,0.289999992
26,0.370000005,0.340000004
27,0.280000001,0.330000013
28,0.25999999,0.289999992
29,0.209999993,0.310000002
30,0.319999993,0.340000004
31,0.319999993,0.319999993
32,0.170000002,0.230000004
33,0.360000014,0.25
34,0.430000007,0.439999998
35,0.319999993,0.439999998
36,0.370000005,0.409999996
37,0.389999986,0.370000005
38,0.389999986,0.409999996
39,0.430000007,0.300000012
40,0.349999994,0.280000001
41,0.289999992,0.280000001
42,0.289999992,0.25
43,0.360000014,0.319999993
44,0.230000004,0.280000001
45,0.25999999,0.310000002
46,0.270000011,0.300000012
47,0.25,0.239999995
48,0.230000004,0.25999999
49,0.280000001,0.389999986
