,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25,train26,train27,train28,train29,train30,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
0,0.079999998,0.180000007,0.159999996,0.280000001,0.100000001,0.180000007,0.119999997,0.239999995,0.180000007,0.219999999,0.200000003,0.159999996,0.219999999,0.180000007,0.159999996,0.140000001,0.25999999,0.180000007,0.100000001,0.180000007,0.140000001,0.159999996,0.180000007,0.180000007,0.200000003,0.059999999,0.059999999,0.079999998,0.200000003,0.159999996,0.200000003,0.25999999,0.119999997,0.25999999,0.360000014,0.319999993,0.140000001,0.600000024,0.059999999,0,0.059999999,0.219999999,0.100000001,0.059999999,0.140000001,0.159999996,0.300000012,0.280000001,0.079999998,0.059999999,0.219999999,0,0.039999999,0.340000004,0.180000007,0.100000001,0.119999997,0.219999999,0.100000001,0.300000012,0.100000001,0.25999999
1,0.200000003,0.159999996,0.200000003,0.100000001,0.200000003,0.119999997,0.239999995,0.180000007,0.200000003,0.200000003,0.159999996,0.280000001,0.119999997,0.25999999,0.079999998,0.200000003,0.159999996,0.100000001,0.079999998,0.159999996,0.340000004,0.119999997,0.159999996,0.180000007,0.280000001,0.180000007,0.079999998,0.159999996,0.079999998,0.079999998,0.239999995,0.280000001,0.100000001,0.25999999,0.360000014,0.239999995,0.200000003,0.74000001,0.140000001,0.159999996,0.140000001,0.059999999,0.319999993,0.079999998,0.100000001,0.300000012,0.439999998,0.319999993,0.059999999,0.039999999,0.159999996,0.039999999,0.039999999,0.239999995,0.319999993,0.400000006,0.25999999,0.239999995,0.059999999,0.180000007,0.200000003,0.280000001
2,0.180000007,0.239999995,0.180000007,0.200000003,0.159999996,0.239999995,0.360000014,0.219999999,0.340000004,0.340000004,0.319999993,0.200000003,0.25999999,0.239999995,0.280000001,0.280000001,0.239999995,0.219999999,0.159999996,0.300000012,0.340000004,0.159999996,0.180000007,0.200000003,0.159999996,0.200000003,0.159999996,0.239999995,0.180000007,0.239999995,0.280000001,0.340000004,0.119999997,0.319999993,0.319999993,0.360000014,0.219999999,0.74000001,0.180000007,0.079999998,0.200000003,0.239999995,0.219999999,0.25999999,0.140000001,0.25999999,0.300000012,0.300000012,0.159999996,0.100000001,0.140000001,0.059999999,0.039999999,0.379999995,0.280000001,0.200000003,0.340000004,0.300000012,0.059999999,0.319999993,0.180000007,0.379999995
3,0.159999996,0.200000003,0.239999995,0.200000003,0.340000004,0.340000004,0.280000001,0.319999993,0.319999993,0.300000012,0.140000001,0.219999999,0.460000008,0.25999999,0.319999993,0.200000003,0.300000012,0.200000003,0.219999999,0.180000007,0.360000014,0.280000001,0.219999999,0.140000001,0.25999999,0.180000007,0.25999999,0.25999999,0.280000001,0.379999995,0.25999999,0.660000026,0.180000007,0.340000004,0.460000008,0.360000014,0.379999995,0.779999971,0.239999995,0.119999997,0.159999996,0.300000012,0.319999993,0.039999999,0.219999999,0.280000001,0.360000014,0.25999999,0.100000001,0.079999998,0.219999999,0.079999998,0.100000001,0.379999995,0.419999987,0.360000014,0.319999993,0.379999995,0.159999996,0.319999993,0.119999997,0.419999987
4,0.25999999,0.219999999,0.360000014,0.239999995,0.200000003,0.400000006,0.379999995,0.319999993,0.479999989,0.379999995,0.25999999,0.419999987,0.340000004,0.280000001,0.300000012,0.239999995,0.379999995,0.239999995,0.159999996,0.300000012,0.360000014,0.239999995,0.300000012,0.25999999,0.280000001,0.280000001,0.25999999,0.319999993,0.25999999,0.319999993,0.25999999,0.620000005,0.219999999,0.340000004,0.579999983,0.379999995,0.400000006,0.75999999,0.340000004,0.100000001,0.159999996,0.159999996,0.400000006,0.059999999,0.239999995,0.300000012,0.340000004,0.419999987,0.02,0.140000001,0.360000014,0.039999999,0.140000001,0.479999989,0.340000004,0.439999998,0.400000006,0.280000001,0.200000003,0.360000014,0.100000001,0.479999989
5,0.239999995,0.25999999,0.319999993,0.340000004,0.400000006,0.439999998,0.439999998,0.5,0.560000002,0.460000008,0.379999995,0.439999998,0.519999981,0.340000004,0.519999981,0.239999995,0.519999981,0.300000012,0.200000003,0.319999993,0.460000008,0.340000004,0.239999995,0.200000003,0.360000014,0.319999993,0.300000012,0.25999999,0.379999995,0.400000006,0.300000012,0.540000021,0.200000003,0.400000006,0.460000008,0.319999993,0.360000014,0.800000012,0.25999999,0.119999997,0.200000003,0.360000014,0.460000008,0.140000001,0.379999995,0.419999987,0.479999989,0.540000021,0.079999998,0.159999996,0.600000024,0.159999996,0.100000001,0.439999998,0.400000006,0.319999993,0.639999986,0.25999999,0.219999999,0.479999989,0.25999999,0.5
6,0.439999998,0.439999998,0.300000012,0.419999987,0.379999995,0.319999993,0.340000004,0.540000021,0.579999983,0.479999989,0.419999987,0.579999983,0.439999998,0.400000006,0.620000005,0.280000001,0.5,0.400000006,0.25999999,0.360000014,0.419999987,0.300000012,0.360000014,0.400000006,0.439999998,0.479999989,0.460000008,0.419999987,0.400000006,0.439999998,0.219999999,0.519999981,0.200000003,0.360000014,0.479999989,0.519999981,0.5,0.800000012,0.360000014,0.100000001,0.25999999,0.25999999,0.400000006,0.100000001,0.360000014,0.5,0.319999993,0.479999989,0.100000001,0.079999998,0.460000008,0.119999997,0.159999996,0.519999981,0.639999986,0.439999998,0.75999999,0.360000014,0.280000001,0.379999995,0.219999999,0.340000004
7,0.479999989,0.419999987,0.400000006,0.639999986,0.620000005,0.540000021,0.519999981,0.560000002,0.600000024,0.439999998,0.540000021,0.579999983,0.540000021,0.479999989,0.620000005,0.360000014,0.519999981,0.419999987,0.239999995,0.540000021,0.460000008,0.300000012,0.460000008,0.379999995,0.479999989,0.560000002,0.400000006,0.460000008,0.439999998,0.540000021,0.219999999,0.460000008,0.180000007,0.560000002,0.639999986,0.560000002,0.620000005,0.899999976,0.400000006,0.180000007,0.360000014,0.140000001,0.519999981,0.059999999,0.360000014,0.639999986,0.479999989,0.579999983,0.100000001,0.180000007,0.400000006,0.180000007,0.180000007,0.540000021,0.600000024,0.479999989,0.699999988,0.379999995,0.419999987,0.579999983,0.219999999,0.419999987
8,0.419999987,0.519999981,0.419999987,0.639999986,0.600000024,0.439999998,0.419999987,0.680000007,0.720000029,0.540000021,0.419999987,0.479999989,0.639999986,0.560000002,0.560000002,0.25999999,0.439999998,0.439999998,0.340000004,0.540000021,0.560000002,0.540000021,0.620000005,0.460000008,0.680000007,0.460000008,0.560000002,0.460000008,0.579999983,0.460000008,0.379999995,0.620000005,0.300000012,0.479999989,0.680000007,0.5,0.660000026,0.959999979,0.540000021,0.25999999,0.360000014,0.360000014,0.75999999,0.239999995,0.319999993,0.579999983,0.460000008,0.560000002,0.25999999,0.180000007,0.519999981,0.239999995,0.300000012,0.519999981,0.479999989,0.639999986,0.819999993,0.439999998,0.180000007,0.460000008,0.280000001,0.540000021
9,0.460000008,0.439999998,0.540000021,0.680000007,0.560000002,0.540000021,0.600000024,0.620000005,0.600000024,0.479999989,0.519999981,0.660000026,0.639999986,0.540000021,0.699999988,0.540000021,0.600000024,0.600000024,0.25999999,0.560000002,0.680000007,0.439999998,0.439999998,0.419999987,0.600000024,0.639999986,0.600000024,0.560000002,0.579999983,0.600000024,0.479999989,0.75999999,0.379999995,0.639999986,0.560000002,0.479999989,0.75999999,0.839999974,0.5,0.200000003,0.400000006,0.200000003,0.779999971,0.340000004,0.340000004,0.540000021,0.360000014,0.620000005,0.300000012,0.280000001,0.639999986,0.400000006,0.25999999,0.600000024,0.660000026,0.600000024,0.800000012,0.439999998,0.400000006,0.439999998,0.239999995,0.439999998
