,Train,Test
0,0.05999999865889549,0.2199999988079071
1,0.07999999821186066,0.23999999463558197
2,0.1599999964237213,0.30000001192092896
3,0.25999999046325684,0.3799999952316284
4,0.25999999046325684,0.2800000011920929
5,0.30000001192092896,0.25999999046325684
6,0.46000000834465027,0.36000001430511475
7,0.4000000059604645,0.3799999952316284
8,0.5600000023841858,0.4399999976158142
9,0.6000000238418579,0.4399999976158142
10,0.5799999833106995,0.5400000214576721
11,0.7400000095367432,0.5600000023841858
12,0.6800000071525574,0.6000000238418579
13,0.6800000071525574,0.6000000238418579
14,0.7799999713897705,0.5600000023841858
15,0.699999988079071,0.7200000286102295
16,0.8199999928474426,0.6600000262260437
17,0.8199999928474426,0.6000000238418579
18,0.8600000143051147,0.7599999904632568
19,0.8799999952316284,0.7799999713897705
20,0.8199999928474426,0.6600000262260437
21,0.8199999928474426,0.7400000095367432
22,0.8600000143051147,0.8399999737739563
23,0.9200000166893005,0.7200000286102295
24,0.8399999737739563,0.8199999928474426
25,0.8799999952316284,0.7599999904632568
26,0.9399999976158142,0.8799999952316284
27,0.8999999761581421,0.8399999737739563
28,0.8999999761581421,0.8799999952316284
29,0.8600000143051147,0.800000011920929
30,0.9399999976158142,0.7799999713897705
31,0.8999999761581421,0.8799999952316284
32,0.9599999785423279,0.9200000166893005
33,0.8999999761581421,0.7599999904632568
34,0.9800000190734863,0.8799999952316284
35,0.9399999976158142,0.8600000143051147
36,0.9399999976158142,0.8799999952316284
37,0.9399999976158142,0.8799999952316284
38,0.9200000166893005,0.8600000143051147
39,0.9599999785423279,0.9200000166893005
40,0.9800000190734863,0.8799999952316284
41,0.9200000166893005,0.8999999761581421
42,0.9200000166893005,0.8799999952316284
43,0.9200000166893005,0.7599999904632568
44,0.8799999952316284,0.9200000166893005
45,0.8600000143051147,0.8399999737739563
46,0.9200000166893005,0.8799999952316284
47,0.9800000190734863,0.9200000166893005
48,0.9599999785423279,0.8600000143051147
49,0.9200000166893005,0.9200000166893005
