,0,
0,0.5266512,0.577512777
1,0.517199978,0.595132743
2,0.542753036,0.950801749
3,0.579507668,0.16526472
4,0.545574887,0.779970105
5,0.555052859,0.138888889
6,0.516725115,0.044637681
7,0.540635123,0.876942461
8,0.546971601,0.102508651
9,0.512089584,0.589453861
10,0.539694737,0.688217523
11,0.537058435,0
12,0.502027175,0.514941302
13,0.502715996,0.538966725
14,0.501596925,0.78
15,0.511141194,0.075424261
16,0.485564304,0.256341789
17,0.391643386,0.323464101
18,0.419282511,0.681122449
19,0.386966406,0.858534085
20,0.449662162,0.376104333
21,0.468379012,0.430555556
22,0.429694068,0.81540931
23,0.484544509,0.372937294
24,0.466269841,0.258730465
25,0.419431434,0.466447848
