,0,
0,0.542827911,0.163621922
1,0.488921479,0.651888342
2,0.533435331,0.578768783
3,0.507832163,0.500363636
4,0.511093991,0.553609569
5,0.498817434,0.576944918
6,0.481467167,0.59660767
7,0.562492399,0.950072886
8,0.629288173,0.16526472
9,0.556046558,0.779970105
10,0.622382699,0.138888889
11,0.563075982,0.044637681
12,0.527253709,0.876942461
13,0.559752414,0.099913495
14,0.520716685,0.588983051
15,0.522299562,0.687009063
16,0.525367872,0
17,0.371840364,0.514941302
18,0.42557723,0.542031524
19,0.378610062,0.78
20,0.45650513,0.078566939
21,0.462012095,0.256341789
22,0.381922907,0.324204293
23,0.414975139,0.681122449
24,0.411531554,0.858534085
25,0.436720793,0.376104333
26,0.486115294,0.430964052
27,0.474992722,0.814874264
28,0.503997613,0.371287129
29,0.457668923,0.261431603
30,0.437458385,0.466447848
