,0,
0,0.564028235,0.138888889
1,0.533615067,0.044637681
2,0.532172513,0.876942461
3,0.53302928,0.102508651
4,0.517616308,0.588983051
5,0.512898058,0.688821752
6,0.50809239,0
7,0.520610773,0.514941302
8,0.507503902,0.54290718
9,0.499378728,0.78
10,0.527546296,0.075424261
11,0.503777189,0.256341789
12,0.488518919,0.322723908
13,0.483126379,0.681122449
14,0.484543175,0.858534085
15,0.496983492,0.378207825
16,0.484882893,0.430555556
17,0.420646671,0.815944355
18,0.465430824,0.373349835
19,0.432442886,0.258730465
20,0.432231748,0.466447848
