,0
0,0.5716960941680043
1,0.5671521035598706
2,0.7126993502658003
3,0.42078280587597355
4,0.5015012703056433
5,0.5041516835567179
6,0.41064887493458924
7,0.5588622962192161
8,0.5233701276302173
9,0.47561382068659036
10,0.5857887579329103
11,0.5580901856763926
12,0.5649041396995971
13,0.7437814989432613
14,0.6087267014211241
15,0.6488099056906397
16,0.5614189571671174
17,0.31138760711931446
18,0.4960381861575179
19,0.2996187248464308
20,0.42870522125965815
21,0.5559490084985835
22,0.3167268351383875
23,0.4263211382113821
24,0.41558764940239046
25,0.438661252614741
26,0.49206560874783306
27,0.4190802845528455
28,0.3614353653264159
29,0.30463472113118617
30,0.518364312267658
31,0.5552151714077316
32,0.5558350100603622
33,0.595026026604974
34,0.4793814432989691
35,0.40439449849043946
