,Train,Test
0,0.300000012,0.050000001
1,0.25,0.050000001
2,0.100000001,0.150000006
3,0.300000012,0.200000003
4,0.400000006,0.100000001
5,0.400000006,0.150000006
6,0.25,0.300000012
7,0.400000006,0.400000006
8,0.5,0.200000003
9,0.649999976,0.300000012
10,0.550000012,0.349999994
11,0.699999988,0.449999988
12,0.800000012,0.349999994
13,0.699999988,0.200000003
14,0.800000012,0.25
15,0.75,0.300000012
16,0.75,0.550000012
17,0.899999976,0.400000006
18,0.75,0.649999976
19,0.649999976,0.550000012
20,0.850000024,0.449999988
21,0.699999988,0.449999988
22,0.850000024,0.400000006
23,0.75,0.699999988
24,0.899999976,0.649999976
25,0.850000024,0.349999994
26,0.850000024,0.699999988
27,0.850000024,0.649999976
28,0.850000024,0.400000006
29,0.75,0.550000012
30,0.850000024,0.75
31,0.949999988,0.75
32,0.800000012,0.5
33,0.699999988,0.649999976
34,0.850000024,0.699999988
35,0.899999976,0.949999988
36,0.75,0.649999976
37,0.899999976,0.850000024
38,0.850000024,0.649999976
39,0.949999988,0.800000012
40,0.899999976,0.75
41,0.899999976,0.699999988
42,0.949999988,0.800000012
43,0.949999988,0.600000024
44,1,0.5
45,0.800000012,0.649999976
46,0.949999988,0.699999988
47,0.850000024,0.699999988
48,0.899999976,0.800000012
49,0.800000012,0.75
